ID_Record,Finance Account,Tax Account ID,Legal Account ID,Transaction ID,Financial Date,Category,Description,Amount,Amount Type,Client Name,Payment Method,Currency,Balance,Budget Code,Approval Status,Reference Number,Comments
5,2430111,21440895,35362988,T079140,2019-08-26,Other Expenses,Shipping,7845,Checking,Ultimate Evolution Enterprises,Bank transfer,SEK,86179,B014934,Approved,R086278,Team travel expense
6,3572241,52860907,19225939,T079626,2010-02-16,Travel,Travel reimbursement,8923,Savings,Infinite Innovative Co,Bank transfer,NZD,44958,B041271,Approved,R026076,"Security services, Emergency funds allocation"
4,6824687,23221837,21440895,T056213,2015-02-05,Office,Office furniture,3773,Savings,Flexible Digital Enterprises,PayPal,AUD,50551,B049730,Approved,R032642,Annual software licensing fees
8,2652729,56597503,39847904,T083230,2017-07-27,Office,Office Repair,2758,Savings,Global Advanced Enterprises,Cash,USD,43734,B093264,Rejected,R039067,"Insurance premiums, Monthly cleaning services"
6,6830384,23221837,23221837,T011660,2015-12-21,Other Expenses,Repairs,9486,Savings,Tech Inspiration Corp,Bank transfer,USD,6825,B033478,Approved,R032408,"Monthly rent, For office stationery"
2,6357613,19225939,56597503,T008390,2019-09-29,Utilities,Internet bill,1704,Checking,Elite Visionary Technologies,Bank transfer,USD,20053,B067447,Approved,R006459,Office renovation costs
9,4730988,52860907,54146786,T090853,2012-05-16,Travel,Travel reimbursement,2342,Checking,Global First Labs,Bank transfer,EUR,70887,B071508,Approved,R073617,Conference and event sponsorships
6,4170373,21440895,56643072,T079157,2014-07-06,Marketing,Advertising campaign,4296,Checking,Brilliant Power Technologies,Bank transfer,USD,63960,B016079,Pending,R065294,Team travel expense
4,2153242,52860907,35362988,T043813,2019-12-06,Rent,Rent payment,6261,Checking,Proactive Advanced Enterprises,Credit card,USD,38298,B013035,Approved,R024217,Monthly internet
9,6518348,23221837,52860907,T090516,2016-01-30,Rent,Rent payment,4126,Checking,Epic Innovative Industries,Bank transfer,JPY,17517,B073359,Approved,R031676,Charitable donations and sponsorships
